AnimalType,AgeUponOutcome,Breed,Color,SexuponOutcome
1,365,450,358,0
1,3285,696,250,3
1,730,249,320,3
0,60,640,104,3
1,365,847,5,2
1,270,407,289,3
1,730,74,320,3
0,30,640,139,3
0,30,640,139,0
0,90,640,104,2
0,365,640,5,1
0,2555,632,38,2
0,2,640,41,4
1,28,235,226,1
0,90,640,216,2
1,1825,307,250,3
1,2190,846,89,2
0,30,640,111,1
0,21,640,5,4
1,3650,450,38,0
0,60,1251,211,2
0,60,640,104,3
1,365,908,338,2
1,90,1066,38,0
0,730,640,296,0
0,365,637,139,3
1,730,1066,289,2
0,365,640,41,2
1,1095,438,38,2
0,730,640,220,2
1,120,1049,338,2
1,1825,450,36,2
0,2555,640,220,2
0,150,637,139,3
1,730,253,329,3
1,1095,1232,274,3
1,2555,1170,320,3
0,365,640,104,0
1,2920,1091,239,3
0,60,640,104,3
1,1825,1066,320,3
1,365,1066,86,0
1,3650,857,130,1
0,21,640,220,0
1,30,450,307,3
0,90,640,220,2
1,4745,407,38,2
1,240,312,130,3
0,28,640,5,1
0,210,640,291,0
1,730,980,318,2
0,365,640,139,0
1,60,847,252,3
1,30,74,88,1
1,2190,768,320,3
1,2190,980,204,3
0,90,640,68,2
1,365,365,289,0
0,2920,640,68,1
0,90,640,104,3
0,1095,640,324,2
0,300,640,68,3
0,4380,640,38,2
1,60,1066,353,1
1,365,847,38,3
1,730,450,156,2
0,60,640,220,3
0,90,640,38,0
1,2555,450,320,2
0,28,634,296,0
0,365,640,38,4
1,7,847,318,4
1,365,1026,318,3
1,2190,847,150,2
0,7,640,220,0
1,270,407,22,2
1,120,365,289,2
1,5475,847,248,1
1,6,1170,318,1
1,270,438,289,3
1,4015,924,318,2
0,300,640,38,2
1,1460,559,226,2
0,7,640,104,1
1,1825,222,114,3
0,21,640,167,4
0,60,640,296,3
0,365,640,104,3
0,150,640,38,2
1,730,1204,25,3
1,365,610,320,3
1,730,298,10,2
1,365,559,25,3
0,1095,640,104,2
1,60,847,364,3
1,365,307,321,3
0,60,637,291,3
0,365,640,296,0
1,1095,1197,25,2
1,1460,431,307,1
1,60,852,289,2
0,1825,640,318,3
0,365,640,139,0
1,730,307,98,3
1,730,1177,353,0
0,365,640,296,3
1,90,74,38,1
1,60,243,38,2
1,60,847,48,2
1,4745,504,226,1
0,2190,640,291,3
1,730,1066,320,3
0,14,640,38,4
1,330,214,88,3
0,60,632,5,2
0,180,640,267,2
1,365,74,89,3
1,365,74,98,3
1,730,125,329,2
1,365,450,274,3
0,60,640,167,2
1,365,962,166,2
1,365,450,5,0
1,730,1066,130,3
0,2555,640,86,1
1,2190,1066,98,2
0,60,640,104,2
0,28,637,107,0
0,3,640,104,1
0,30,640,11,0
0,730,640,104,0
0,3,640,5,4
1,2920,862,38,3
1,365,481,250,2
0,60,640,167,1
0,730,640,104,3
0,60,640,68,2
0,90,640,5,3
0,21,640,5,1
0,6205,640,324,2
1,3650,696,114,2
0,730,637,296,0
0,1095,640,111,3
1,365,1066,38,2
1,300,563,150,3
1,2555,1066,320,3
0,28,640,139,0
1,1095,1343,353,3
0,14,640,38,1
0,210,632,20,2
0,730,640,104,2
0,90,640,168,2
0,14,640,167,1
1,365,450,289,2
1,2190,1066,330,3
0,150,1251,211,3
1,150,958,36,1
0,120,640,216,1
1,730,365,287,3
1,730,869,25,2
1,300,125,353,3
0,365,640,104,3
0,90,640,296,0
0,2920,640,297,0
0,150,1251,260,1
0,90,640,32,0
0,60,640,38,2
1,365,74,307,3
0,21,640,111,1
1,730,585,130,2
0,90,640,111,2
1,2190,1065,353,2
0,150,640,68,3
0,730,640,41,0
1,365,450,358,2
0,7,640,220,4
0,730,1251,260,2
0,28,640,296,0
0,21,640,216,1
0,90,640,104,2
0,730,640,104,1
0,60,640,38,3
1,1825,695,36,2
0,210,1207,41,3
0,30,640,5,0
0,365,640,216,3
0,2920,632,104,3
1,3285,696,338,3
1,2190,979,5,2
1,4380,449,38,0
0,365,640,5,3
1,730,1066,86,1
1,60,538,259,2
1,90,924,353,3
1,1460,1255,318,3
0,60,640,168,3
0,365,640,295,0
0,60,640,291,3
0,4745,640,68,3
1,730,450,165,2
1,730,811,318,2
1,90,566,36,3
0,30,640,168,0
0,28,640,216,4
0,21,640,220,4
1,90,455,334,0
1,1095,176,230,1
0,7,632,104,1
0,21,637,111,1
1,60,1066,38,2
1,180,860,358,0
0,180,640,68,2
0,365,640,167,2
0,1825,640,291,3
0,14,640,86,0
1,730,401,250,2
0,14,640,296,0
1,365,681,37,2
1,300,698,226,3
1,2190,1105,98,2
0,240,640,139,3
0,21,640,111,1
1,730,407,58,3
1,1460,450,38,3
0,60,640,41,2
0,60,640,111,2
1,2190,1091,289,3
1,365,1066,41,3
1,90,1186,257,2
1,90,811,353,3
1,300,878,38,2
1,365,1364,269,3
0,60,640,41,2
1,365,1116,38,3
0,21,640,38,1
1,30,559,36,2
0,150,640,216,2
1,730,450,329,2
1,2190,1066,130,3
1,180,696,252,0
1,30,74,320,3
0,365,636,111,0
0,210,640,265,2
1,60,538,320,2
1,365,450,356,3
1,2190,407,98,3
1,30,696,307,3
1,240,547,226,2
0,730,640,111,3
1,365,74,329,3
0,365,640,139,3
1,365,698,252,3
0,60,637,291,3
1,1825,125,329,3
0,60,640,217,4
1,365,73,74,3
1,240,70,88,3
1,1825,1232,130,3
0,730,637,5,2
0,730,640,216,2
1,365,1365,36,2
1,30,1170,307,1
0,120,640,63,1
1,365,847,86,2
1,4380,811,329,3
0,730,639,41,3
0,365,640,111,1
0,5475,640,63,0
0,730,640,139,3
1,60,438,165,2
0,90,640,104,2
1,730,909,166,0
0,60,640,5,2
1,60,561,307,1
1,1095,847,130,2
0,365,640,167,2
1,730,1291,10,3
0,365,640,216,2
0,365,637,38,3
0,21,640,111,4
1,730,1369,272,2
1,240,1116,329,2
0,60,639,68,0
1,5110,407,99,3
1,90,1158,48,3
1,365,847,5,2
0,30,640,38,1
0,60,640,296,3
1,730,1066,38,1
1,60,696,114,2
1,365,450,114,3
0,180,640,5,3
1,5840,74,130,2
1,1460,503,41,2
0,60,1251,211,0
0,90,640,111,3
0,21,640,220,1
0,90,640,63,3
0,1095,1251,260,2
1,730,450,37,2
1,365,112,226,3
1,2920,268,165,3
1,60,458,274,2
0,60,640,104,2
0,14,640,104,0
0,7,640,224,4
1,60,861,86,3
1,210,889,289,0
1,210,103,289,3
1,4015,1197,274,1
1,1095,1066,98,2
0,730,640,104,2
1,1825,450,166,1
1,3650,956,163,2
1,730,329,89,2
0,1095,640,68,2
1,240,450,250,3
0,1095,640,216,2
1,1825,559,36,2
1,60,383,131,1
1,30,924,166,2
1,365,1066,98,1
0,150,640,104,0
1,150,1197,25,3
0,14,640,63,1
0,30,640,216,1
0,60,637,220,2
1,60,847,5,0
1,1095,1095,289,2
1,150,847,38,3
1,730,74,320,3
1,60,214,114,2
1,365,585,166,2
0,365,640,320,1
1,1825,862,5,2
0,150,637,104,2
1,3285,847,358,2
0,730,640,324,3
1,365,74,38,3
0,90,640,291,3
1,60,878,25,1
0,60,640,139,3
0,210,1251,205,1
1,1825,455,131,2
0,300,637,320,3
1,730,962,318,3
0,21,640,296,0
1,60,696,114,3
1,60,450,38,3
0,240,637,5,4
1,90,847,38,3
0,180,1251,260,3
1,1095,307,130,2
0,60,637,111,3
1,1460,438,38,3
0,7,640,38,4
1,2920,450,226,2
0,120,640,5,2
1,730,450,130,2
1,2555,847,5,2
0,21,640,5,4
1,90,847,38,1
0,21,640,38,1
0,14,637,5,4
0,21,640,104,0
1,1460,552,226,3
1,330,617,248,0
1,730,45,259,1
0,365,632,104,1
1,1095,1098,250,2
1,3650,450,88,1
1,2920,438,311,2
1,120,1105,98,3
0,1095,632,320,1
0,60,640,220,2
0,120,640,41,0
0,60,640,5,3
1,1095,1066,86,1
0,30,640,111,0
0,7,640,104,0
0,60,640,220,2
1,730,1066,86,3
0,180,640,220,2
0,60,640,320,3
1,365,1124,329,3
0,7,640,220,4
0,60,640,111,1
1,1095,793,342,0
0,365,640,5,3
1,300,450,165,2
0,60,640,111,3
1,2555,879,88,2
1,365,847,5,2
1,2190,1269,130,3
1,365,45,38,2
1,3285,436,88,2
1,2920,450,250,2
0,30,640,5,0
0,28,640,111,4
1,365,696,5,3
0,2920,640,291,2
0,90,640,11,2
1,90,855,130,1
0,60,640,5,2
0,730,640,104,3
1,1825,915,194,1
1,365,710,26,2
1,90,847,150,3
1,2555,1066,130,2
1,30,1066,289,0
1,365,847,38,2
1,365,1066,86,1
0,30,637,5,0
0,365,640,5,0
0,730,1271,262,2
0,120,640,111,4
0,14,639,296,4
0,120,640,41,2
1,2190,450,130,2
0,60,632,5,3
1,365,695,114,2
0,120,640,38,2
0,730,637,216,1
0,120,640,104,1
0,30,640,111,1
1,1095,847,358,3
1,4015,737,187,3
1,2,696,150,1
0,60,637,111,2
0,1460,640,104,1
0,1095,640,5,0
1,1460,879,358,2
1,120,1363,38,2
1,1460,1066,38,2
0,14,640,63,1
0,150,640,68,2
0,60,640,216,3
1,1460,297,98,3
1,90,69,353,0
0,60,1251,211,2
0,730,640,216,1
1,3285,61,353,2
1,60,167,163,3
0,365,640,197,0
1,60,847,130,3
0,21,640,111,1
1,1095,1066,324,3
1,4380,979,194,2
0,365,637,291,3
1,730,1083,86,3
1,1095,617,163,2
1,1095,450,354,2
1,730,450,307,3
1,2190,1255,38,3
1,730,1358,307,3
1,30,1066,318,1
0,60,640,104,3
1,2,54,320,4
1,1460,340,165,3
0,180,640,296,3
0,1095,640,111,3
0,730,632,38,4
0,270,640,111,2
0,1825,640,5,0
0,365,838,5,3
1,150,847,38,3
0,60,640,111,2
1,365,559,25,0
1,120,125,320,3
0,60,1251,260,0
1,730,696,88,2
1,30,249,38,0
1,1825,585,88,3
1,365,1066,38,0
0,120,640,216,2
0,730,632,220,1
1,365,450,130,2
1,1095,307,289,2
1,730,1158,38,3
1,180,847,38,3
1,30,369,36,0
0,120,640,104,2
1,180,74,69,2
0,14,640,216,1
1,2190,450,289,2
0,28,640,104,0
0,60,637,139,3
0,120,640,38,3
0,730,640,5,1
1,2920,125,307,2
0,90,640,104,2
1,240,901,5,2
0,1825,640,5,3
0,120,640,111,1
1,730,1105,274,3
1,30,878,38,3
1,30,450,25,1
0,60,640,38,0
1,730,293,329,2
0,4,640,104,0
1,1460,1290,353,3
1,730,696,163,2
0,365,640,296,3
1,730,383,307,2
1,5110,437,25,3
0,730,640,216,4
0,365,640,86,3
1,1460,847,88,3
0,60,640,220,2
0,60,640,318,3
1,2920,1236,318,2
1,730,1066,86,2
1,30,1105,26,1
1,365,975,5,2
0,300,640,111,1
1,2920,308,88,1
1,730,450,329,3
1,150,749,226,3
1,3285,847,358,3
1,120,847,130,3
0,730,640,332,4
1,365,278,38,0
1,240,45,289,3
0,365,640,104,1
1,120,450,329,3
0,1825,640,216,2
1,30,1066,98,1
1,730,588,88,2
0,90,637,5,0
1,60,559,88,0
0,120,637,5,4
1,2555,548,130,3
1,730,450,130,2
0,330,640,139,0
1,365,449,274,3
1,2555,1236,194,0
1,30,74,37,0
0,1095,640,318,3
1,300,1146,274,2
1,365,1049,289,2
1,1825,125,25,2
1,1460,1290,98,0
0,210,640,216,1
0,90,640,104,3
1,365,450,88,2
1,365,1014,137,3
1,730,1066,320,3
0,120,640,41,1
0,28,632,5,0
0,90,640,41,2
1,730,450,353,3
1,365,1066,289,2
1,365,596,88,1
0,365,640,5,3
1,1825,1139,131,3
0,90,1251,5,2
1,270,1066,324,3
1,730,407,103,3
1,730,233,130,3
0,60,631,11,2
1,60,1369,194,1
1,365,847,38,3
1,1095,847,38,2
0,180,640,5,3
1,30,696,253,0
1,60,285,38,3
0,2190,640,167,2
1,2555,450,38,3
0,60,640,291,3
1,365,1066,185,0
1,150,450,274,2
1,150,111,130,2
0,1,640,215,1
1,365,271,38,3
1,730,878,130,2
1,2190,450,307,2
1,90,450,88,2
1,365,948,89,3
1,30,847,318,2
1,365,1066,98,2
1,60,878,252,2
0,730,640,111,1
1,270,1066,86,2
0,30,640,63,0
0,210,640,291,0
1,120,846,38,2
1,365,1235,329,0
1,300,249,5,2
0,3,640,204,0
1,3650,980,203,3
1,90,1066,98,1
1,1825,125,307,2
0,60,637,68,3
0,730,632,38,2
1,2920,1066,329,1
1,730,45,38,3
1,365,401,274,3
1,365,840,320,0
1,270,249,307,3
0,270,640,86,2
0,365,632,5,2
1,60,384,239,3
0,300,640,104,3
0,28,640,38,1
1,150,847,38,2
1,365,463,362,2
1,365,1066,130,2
1,365,450,89,2
1,365,73,349,2
0,21,640,111,4
0,3650,640,296,0
0,180,640,63,2
1,270,1197,36,2
0,21,1251,260,4
0,60,640,104,2
1,5475,166,307,2
1,1095,450,185,3
0,365,632,332,4
1,60,1372,318,1
0,60,640,5,3
1,365,196,36,3
1,365,251,36,0
0,730,640,41,2
1,730,847,25,3
1,1460,962,318,2
1,5840,1039,318,3
0,3285,640,63,3
1,365,585,250,3
0,90,640,216,2
0,28,1251,59,0
1,4015,696,114,2
1,1825,764,330,1
1,5475,1305,202,2
0,90,640,38,2
1,300,1066,38,2
1,2920,298,98,2
0,60,640,68,2
0,365,640,104,0
1,365,695,28,3
0,300,640,111,3
0,180,637,166,3
1,730,1255,38,2
1,730,1066,10,1
0,2190,640,63,3
1,2190,847,150,2
0,730,640,38,0
0,4,640,216,0
0,2,640,86,1
1,60,847,5,2
1,730,847,5,3
0,365,640,216,2
1,730,450,130,2
1,1460,696,114,2
0,1460,640,104,3
1,730,249,5,3
0,365,640,318,0
0,60,640,86,2
1,330,865,38,3
1,120,1066,38,0
1,365,450,289,2
0,365,640,104,1
0,1095,640,38,3
1,60,617,163,2
0,28,640,38,4
0,60,640,68,3
1,730,962,318,3
1,180,827,318,2
1,730,1066,38,2
1,90,559,250,2
1,60,450,336,2
1,60,1105,98,2
0,14,640,216,1
1,60,450,259,2
0,270,640,324,4
0,365,640,296,0
1,730,1365,36,2
0,120,1251,205,3
1,180,988,194,3
1,365,846,358,1
0,60,640,104,0
1,60,847,38,0
1,2920,450,38,3
0,60,640,216,3
1,1095,1066,349,0
0,730,632,63,0
1,120,980,268,2
1,210,45,98,2
0,14,640,63,0
0,30,637,295,3
0,365,640,104,3
0,28,640,5,1
1,730,85,79,2
1,150,1066,86,3
1,365,581,48,2
0,365,1250,260,2
0,60,637,216,2
0,60,632,296,0
1,730,365,289,0
1,270,406,320,3
0,14,640,318,0
0,240,640,5,3
0,2555,1315,211,2
1,730,1005,289,2
1,60,449,289,3
0,2920,637,216,0
0,21,640,111,1
1,365,1236,38,2
0,365,632,41,0
1,2920,450,226,3
1,1825,1066,165,0
1,730,862,38,2
0,90,632,38,3
0,730,640,296,0
1,150,565,289,2
0,7,640,296,0
1,1460,547,226,2
0,365,640,5,1
0,14,640,5,4
1,1460,585,88,2
1,5110,450,38,3
0,90,640,38,1
1,3285,234,274,3
0,14,640,216,0
0,2920,640,5,0
0,90,640,111,3
1,365,962,320,2
1,365,465,353,2
0,28,640,5,1
1,365,768,320,3
1,730,450,274,3
0,365,640,220,1
1,730,450,289,2
0,3650,640,216,2
1,5110,1365,274,3
1,730,1069,353,2
0,730,640,139,0
1,150,1066,250,2
0,120,640,104,2
0,60,640,11,1
0,60,640,291,3
1,730,847,38,3
0,21,640,63,4
0,60,640,43,3
0,300,637,38,3
1,60,373,10,3
1,1095,847,38,3
1,365,847,88,3
1,2555,847,88,1
0,60,637,41,3
1,730,1066,86,1
1,300,1066,86,2
0,4380,640,216,1
0,2190,640,167,2
0,21,640,68,1
0,14,1251,260,4
0,60,640,111,1
1,1095,1066,86,0
1,180,948,362,2
1,30,365,259,2
0,365,640,63,2
1,730,1066,130,2
0,90,640,216,1
0,1095,640,220,2
0,730,640,104,3
1,365,1242,281,3
1,365,307,89,2
0,1460,640,38,3
0,730,640,16,2
1,240,1037,88,3
0,120,640,5,3
1,1460,1066,86,0
0,28,640,104,0
0,90,640,5,0
0,730,640,38,4
1,365,1066,5,3
0,365,640,111,3
0,730,1207,41,3
0,730,637,5,2
0,2,640,38,0
1,365,980,36,2
0,730,640,104,3
0,30,632,41,1
1,730,1291,86,2
1,1095,1066,289,3
1,330,156,130,3
1,365,1066,98,2
1,270,1066,86,2
1,2190,481,307,2
0,3650,639,302,3
0,30,640,38,3
1,60,696,88,2
0,60,640,216,2
1,365,939,26,3
0,14,640,167,1
0,30,640,296,0
0,4745,1103,104,3
1,365,847,187,2
0,150,640,139,3
1,730,1136,250,2
1,60,774,318,0
1,1095,450,274,3
0,365,640,63,3
1,365,1066,98,1
0,30,640,5,0
0,90,640,5,2
1,7,847,252,1
1,730,1288,349,2
1,300,214,114,2
1,3650,298,320,2
1,150,45,38,0
1,90,868,38,3
1,730,748,166,3
0,240,640,104,0
1,365,249,307,2
1,1460,1066,98,2
0,730,640,104,3
1,2920,1281,307,2
0,90,1251,211,2
0,730,640,216,1
0,1460,640,216,2
0,2555,640,104,2
1,365,214,88,3
0,21,640,68,0
0,365,640,139,3
1,60,467,38,2
0,1095,640,5,4
1,150,1066,364,3
1,180,1065,318,3
0,1,640,104,1
0,120,640,104,2
1,730,450,274,3
0,2555,640,5,2
1,365,450,130,3
0,60,640,296,3
0,2920,636,5,2
1,730,732,69,3
1,365,737,358,3
0,60,1251,211,3
1,150,1066,289,3
1,4745,450,131,0
1,730,1144,98,2
0,180,1251,211,3
0,60,640,111,2
0,1825,640,296,3
0,60,640,111,3
1,1095,306,130,2
1,60,214,130,2
0,21,640,5,4
0,1460,640,167,2
1,60,892,320,1
1,730,1170,289,2
0,90,640,111,3
1,730,1066,10,2
1,1095,862,5,2
0,90,640,5,2
1,365,450,274,0
0,210,838,139,3
1,30,696,25,2
0,60,640,104,2
1,270,450,252,0
0,30,637,216,0
0,90,640,68,1
1,730,764,334,2
1,60,847,38,2
0,120,640,5,2
1,3650,1170,38,2
0,90,640,104,2
1,2190,383,250,3
1,365,1255,320,2
1,730,224,276,2
1,210,847,358,2
0,60,640,38,1
0,60,640,220,2
0,14,640,5,4
1,365,1066,6,2
0,2555,640,320,3
1,300,74,226,3
0,1095,640,63,3
1,30,166,307,0
0,60,640,63,2
1,60,1324,130,2
1,150,125,130,1
1,3285,1147,289,3
1,730,416,103,1
1,2555,306,130,2
1,730,755,88,2
1,180,407,307,2
1,1825,44,165,3
1,730,1066,86,0
1,1095,846,5,3
1,240,1170,320,3
1,365,1014,166,2
0,7,640,38,4
1,2920,1066,289,1
0,240,640,38,2
1,1095,696,36,3
1,1825,450,274,3
1,365,1005,354,2
1,180,307,98,2
1,30,1111,26,3
1,1095,1236,318,2
1,365,55,86,2
0,14,640,104,0
1,2920,1170,354,3
0,60,640,104,3
1,730,1309,307,2
1,210,264,38,0
1,2190,412,227,3
0,60,640,296,0
1,90,847,5,2
0,365,640,220,3
1,210,254,38,3
1,210,547,36,2
0,120,640,216,0
1,300,1066,130,2
0,730,640,139,0
1,330,307,330,3
1,4015,920,318,3
1,2920,27,330,2
1,1095,145,88,0
1,3650,1236,38,2
0,14,640,320,1
0,730,637,38,0
1,365,1116,320,2
1,730,156,320,3
1,1095,1066,38,2
1,120,383,10,2
0,60,640,5,3
1,365,1365,36,2
0,150,632,167,2
1,2555,1066,226,3
1,2555,1033,349,2
1,60,847,131,1
1,365,307,274,3
1,6205,297,38,2
1,730,1290,89,3
0,60,640,216,3
1,365,956,25,2
0,90,640,104,2
0,21,640,139,1
0,14,640,216,1
0,60,637,139,3
1,365,559,38,3
1,330,847,5,3
1,1095,450,5,3
1,150,847,5,2
1,730,1066,130,2
1,120,847,5,3
1,240,847,38,3
1,210,450,89,1
1,365,450,307,2
0,120,640,5,3
1,150,932,329,2
1,4380,424,56,3
1,730,13,289,2
1,30,236,10,0
0,14,640,220,4
0,21,640,38,1
1,5110,1364,272,2
1,730,197,318,3
1,365,450,38,3
0,7,640,216,4
0,240,640,38,2
1,730,865,38,3
1,2555,547,114,2
1,730,167,38,2
0,60,632,16,2
1,730,74,38,3
0,60,1271,260,2
1,1095,924,329,3
1,730,156,38,2
1,2920,962,194,3
1,730,666,329,1
1,120,936,307,3
0,365,640,104,3
1,5110,1301,25,3
1,4745,980,204,2
0,730,640,111,1
0,365,640,41,1
1,730,450,130,2
1,365,481,320,0
1,2190,517,38,2
1,2920,1254,284,2
0,1095,640,149,3
0,1460,640,111,3
1,60,1066,98,3
1,365,128,40,2
0,30,637,5,1
0,90,637,104,2
0,60,640,63,0
1,1825,1364,124,2
1,2,1066,324,1
0,60,640,104,2
1,1095,956,226,2
1,30,811,130,0
1,365,450,38,3
0,21,640,5,4
1,1095,695,5,0
1,2555,549,166,3
1,180,847,88,2
1,365,1066,5,2
1,365,1066,86,3
1,300,74,307,2
1,30,307,5,4
1,730,45,185,3
1,365,1255,36,0
1,730,253,38,2
1,270,249,320,3
0,150,640,5,3
1,730,878,5,2
1,2190,234,185,2
1,90,1066,10,3
0,730,640,63,0
0,60,640,5,1
1,2555,1255,88,3
1,300,1105,307,2
1,365,227,307,2
0,120,640,63,1
1,730,249,38,3
1,365,450,38,1
1,150,156,307,2
1,730,798,289,2
0,2555,632,320,2
0,365,640,104,4
0,365,640,318,4
1,365,412,99,1
0,150,637,167,2
0,120,640,220,1
1,730,1105,89,3
1,730,1236,353,1
1,365,755,41,2
0,14,640,220,1
1,3650,1365,88,2
1,730,1005,274,2
1,365,1186,226,2
1,3285,811,320,2
0,1460,640,111,3
0,7,640,216,4
1,330,847,38,2
1,730,696,25,2
1,60,106,329,3
0,2,640,104,1
1,1825,365,31,3
0,21,640,38,4
1,730,450,5,2
1,2555,1066,336,2
1,60,1105,98,3
1,60,1373,334,3
1,1095,450,136,3
0,365,637,38,3
0,2190,640,38,2
0,730,640,86,3
0,21,640,216,4
0,365,637,104,1
0,365,674,342,3
1,2555,730,38,1
1,3285,407,103,3
1,365,846,136,1
1,1095,491,36,2
1,365,847,289,3
1,1460,1066,86,2
1,3650,1145,5,2
1,2920,1033,329,3
1,730,450,278,3
1,2555,1066,130,3
1,150,847,318,3
1,730,55,86,3
0,60,640,324,2
0,21,640,11,1
0,60,640,139,0
1,60,1136,274,3
1,1095,450,274,3
0,365,640,318,1
1,365,956,36,3
0,150,640,296,3
0,60,640,5,2
1,730,1343,318,2
0,730,640,68,0
1,365,307,38,3
1,60,74,58,3
1,3650,450,274,1
1,365,1232,358,0
1,1095,1091,353,3
1,365,125,48,2
1,730,450,131,2
1,3285,450,289,0
0,150,1253,260,2
1,1095,1145,179,2
1,210,74,103,2
1,730,167,307,3
0,60,640,86,3
0,365,640,111,0
0,60,640,38,2
0,730,640,296,3
1,1460,302,89,0
1,730,696,248,1
1,365,696,36,3
1,60,1359,329,3
1,365,1066,86,2
0,30,640,104,0
0,3,640,86,0
1,1095,450,274,0
1,4015,167,307,2
0,21,637,296,0
0,180,640,104,2
1,120,450,289,3
0,60,637,220,2
0,730,637,139,0
1,30,847,274,2
1,1460,1114,5,3
0,90,640,296,3
0,90,640,38,2
0,4745,922,291,3
1,365,1066,289,2
1,365,1116,165,3
1,1460,1066,349,3
0,60,640,38,0
1,365,975,318,3
0,1460,632,167,2
1,1825,847,5,3
1,730,343,98,2
1,3650,1026,177,2
1,90,1066,89,2
0,30,632,5,1
1,365,1066,89,3
0,3650,640,324,3
1,365,1197,25,3
0,60,640,41,2
1,150,1066,130,1
0,7,640,139,0
1,730,450,329,2
1,365,249,307,0
0,28,637,104,0
1,730,696,36,2
1,730,365,31,2
1,270,450,320,3
1,150,74,329,3
1,60,617,25,2
0,60,640,291,3
1,180,1066,38,3
1,90,847,38,3
0,28,639,38,0
0,14,637,41,0
1,730,1066,86,2
1,730,450,326,2
1,6,438,38,0
1,60,863,89,1
0,180,640,296,3
0,7,640,63,4
0,60,640,41,2
0,21,640,41,4
1,730,1337,165,3
0,60,632,104,3
0,270,640,86,2
0,60,640,104,2
0,150,637,38,0
0,120,640,86,3
1,3650,695,25,2
1,120,450,84,0
1,60,890,274,2
1,365,847,289,3
0,1460,640,38,1
1,2555,610,320,3
1,30,450,38,0
0,60,640,111,3
0,7,640,104,0
1,365,1040,334,2
0,30,640,5,0
0,2920,632,111,3
0,60,640,104,2
1,365,1066,115,3
1,1460,1066,98,2
0,300,640,347,2
1,270,980,204,3
0,21,640,68,1
0,1460,72,5,2
0,730,632,38,2
1,2190,847,88,3
0,60,640,111,3
0,1825,640,139,3
0,60,640,104,3
1,1095,980,204,2
0,60,640,296,3
0,1095,640,5,3
1,1095,696,88,1
0,60,640,104,3
1,1095,1066,86,0
0,120,640,5,0
1,3650,1169,307,3
1,4380,552,130,3
1,365,1014,226,2
1,28,249,38,4
